"Bank Name","Bank Code","BIC"
"BANCO HIPOTECARIO DE ESPAÑA","1005",""
"ENTIDAD 1007","1007",""
"RABOBANK NEDERLAND","1205",""
"CAJA POSTAL","1302",""
"ING DIRECT","1456",""
"ENTIDAD 1465","1465","INGDESMMXXX"
"TRIODOS BANK NV","1491","TRIOESMMXXX"
"ANDBANK ESPAÑA S.A.","1544","BACAESMMXXX"
"FIARE BANCA ETICA","1550","ETICES21"
"BANCA FARMAFACTORING SPA","1554","FASNESM1"
"N26 BANK GMBH,SUCURSAL EN ESPAÑA","1563","NTSBESM1XXX"
"C.E.C.A.","2000","CECAESMMXXX"
"C.A. DE CASTILLA LA MANCHA","2001",""
"BBK","2005",""
"M.P. Y C.GRAL. DE A. DE BADAJOZ","2010","CECAESMM010"
"CAJA DE AHORROS DE CATALUA","2013","CESCESBBXXX"
"C.A. Y M.P. CIRC. CAT. DE OBREROS","2017","CECAESMM017"
"C.A. MUNICIPAL DE BURGOS","2018","CAIXESBBXXX"
"C.A. Y PRESTAMOS DE CARLET","2021",""
"M.P. Y C.A. DE CORDOBA","2024","CECAESMM024"
"C. PROVINCIAL DE A. DE CORDOBA","2025",""
"C.A. DE CASTILLA LA MANCHA","2028",""
"C.A. PROVINCIAL DE GIRONA","2030","CECAESMM030"
"C.GRAL. DE A. Y M.P. DE GRANADA","2031","CECAESMM031"
"C.A. PROV. DE GUADALAJARA","2032","CECAESMM032"
"C.A. DE JEREZ DE LA FRONTERA","2034",""
"CAJA DE AHORROS DE LA RIOJA","2037","CECAESMM037"
"BANKIA","2038","CAHMESMMXXX"
"C.A. COMARCAL DE MANLLEU","2040","CECAESMM040"
"CAJA DE AHORROS DE MANRESA","2041","CECAESMM041"
"CAJA DE AHORROS LAYETANA","2042",""
"CAJA DE AHORROS DE MURCIA","2043","CECAESMM043"
"CAJA DE AHORROS DE ONTINYENT","2045","CECAESMM045"
"C.A. PROVINCIAL DE ORENSE","2046",""
"LIBERBANK","2048","CECAESMM048"
"C.A. Y M.P. DE BALEARES","2051","CECAESMM051"
"C. INSULAR DE A. DE CANARIAS","2052","CECAESMM052"
"C.A. MUNICIPAL DE PAMPLONA","2053",""
"CAJA DE AHORROS DE NAVARRA","2054","CANVES2PXXX"
"CAJA DE AHORROS DE POLLENSA","2056","CECAESMM056"
"C.A. PROVINCIAL DE PONTEVEDRA","2057",""
"CAJA DE AHORROS DE SABADELL","2059","BBVAESMMXXX"
"C. GENERAL DE A. DE CANARIAS","2065","CAIXESBBXXX"
"C.A. DE SANTANDER Y CANTABRIA","2066","CECAESMM066"
"C.A. Y M.P. DE SEGOVIA","2069","CECAESMM069"
